"SRR039378","SRR039381","SRR039453","SRR039454","SRR039455","SRR039456","SRR039457","SRR039939","SRR039940","SRR039948","SRR039949","SRR039950","SRR039952","SRR042429","SRR965341"
3917589,3840757,4095597,4079488,3963616,2223409,2163824,7847343,7360557,2215767,3226166,1417334,4336700,2737068,5615342
94049,93986,91420,78442,80265,25291,26960,257934,279249,86704,62927,16689,185911,38547,1059281
6711132,6529856,6797386,6464236,6299178,4160116,4138475,3258280,2959057,3195715,5418730,2641196,1726924,5529561,19713175
11808689,11471900,11897508,12125373,11801255,16911444,16650836,15235519,14054214,6210639,9968402,10767352,8432164,21610152,1772159
0,0,0,0,0,0,0,0,0,0,0,0,0,0,4190882
23482043,22871687,23887522,23515025,22889927,23740817,23391188,27901784,25870401,12294038,19275406,15120924,15405304,30426075,42694630
