"","Var.2","SRR039378","SRR039381","SRR039453","SRR039454","SRR039455","SRR039456","SRR039457","SRR039939","SRR039940","SRR039948","SRR039949","SRR039950","SRR039952","SRR042429","SRR965341"
"__alignment_not_unique",5615119,3917589,3840766,4095604,4079492,3963620,2223364,2163825,7854561,7360595,2215787,3226173,1417336,4336764,2737078,5615119
"__ambiguous",1059234,94034,93979,91415,78435,80263,25290,26960,250720,279214,86688,62925,16688,185848,38546,1059234
"__no_feature",19706407,6711126,6529852,6797381,6464236,6299175,4160162,4138475,3258279,2959057,3195705,5418724,2641195,1726919,5529547,19706407
"__not_aligned",1772162,11808700,11471902,11897510,12125373,11801256,16911444,16650835,15235518,14054212,6210643,9968402,10767352,8432166,21610157,1772162
"__too_low_aQual",4190866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4190866
"tot.counts",42686724,23482044,22871687,23887522,23515025,22889927,23740817,23391188,27901786,25870400,12294038,19275405,15120924,15405303,30426075,42686724
