"","SRR039378","SRR039381","SRR039453","SRR039454","SRR039455","SRR039456","SRR039457","SRR039937","SRR039938","SRR039939","SRR039940","SRR039948","SRR039949","SRR039950","SRR039951","SRR039952","SRR042429"
"__alignment_not_unique",1310725,1298505,1443068,1375915,1325467,619016,601811,3335255,3237438,6067817,5761806,930218,1012357,414715,1338398,3382430,716028
"__ambiguous",96095,98270,93474,73533,79761,25911,26914,230562,210684,293062,289817,85983,59601,16973,130059,212040,38464
"__no_feature",59470,58874,61470,47398,46572,31943,31327,132917,128060,120549,110954,29339,40468,21255,37605,69321,41178
"__not_aligned",21063157,20479249,21282713,21249275,20690974,22642407,22319229,18118183,17527514,20115061,18484973,10662274,17562542,14389032,5945106,11012740,29118181
"__too_low_aQual",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tot.counts",23511887,22901255,23916797,23539950,22913817,23752504,23402976,23758588,22976318,28002507,25959677,12311281,19298724,15129345,8102592,15479622,30441386
